COMPANY;FUND;INVESTMENT MIN;INVESTMENT MAX;COUNTRY;ADDRESS;ZIP;CITY;STATE;PHONE;FAX;EMAIL;WEBSITE;STAGE;INDUSTRY PREFERENCES;INVESTOR TYPES;COMMENTS;MANAGEMENT TEAMNAME;PHONES;EMAILS
@ventures Waltham;100000000;3000000;3000000;United States of America;1100 Winter Street Suite 4600;02451;Waltham;Massachusetts;978.658.8980;NA;bizplans@ventures.com;;Early Stage,Seed,StartUp;Cleantech,Electronics,Defense, Military & Homeland Security,Energy & Natural Resources,Environment,Software,Technology;Venture Capital Firm;;Peter Mills, Managing Director,Matt Horton, Principal;978.658.8980,978.658.8980;bizplans@ventures.com,bizplans@ventures.com
@ventures Wilmington;100000000;3000000;3000000;United States of America;187 Ballardvale Street Suite A260;01887;Wilmington;Massachusetts;(978) 658-8980;NA;info@ventures.com;;Early Stage,Seed,StartUp;Cleantech,Electronics,Defense, Military & Homeland Security,Energy & Natural Resources,Environment,Software,Technology;Venture Capital Firm;;Marc Poirier, Managing Director;(978)658-8980;poirier@ventures.com
123 Ventures;220000000;15000000;15000000;France;41 boulevard des Capucines;F-75002;Paris;;+33 1 49 26 98 00;+33 1 49 26 98 19;info@123-im.com;www.123venture.com;Early Stage,Mezzanine,StartUp;Biotechnology,Diversified,Consumer Products,Technology;Private Equity Firm;;;;
Robin Hood Ventures - Philadelphia;11000000;500000;500000;United States of America;3711 Market Street 8th Floor;19104;Philadelphia;Pennsylvania; 215-966-6220;484-214-0114;info@robinhoodventures.com;www.robinhoodventures.com;Early Stage,Seed,Expansion,StartUp;Biotechnology,Diversified,Financial Services,Internet,Medical Devices,Software,Technology;Private Investor,Angel Investor;invest only in Philadelphia;Ellen Weber, Executive Director;215-966-6220;eweber@antiphony.com 
2i Capital;1000000000;10000000;10000000;India;613 Oxford Towers 139 Airport Road;560 008;Bangalore;;;+91-80-4115-1994;vivek.sekhar@2icapital.com;www.2icapital.com;Later Stage,Management Buyout,Expansion,Leveraged Buyout,Mezzanine,Recapitalization;Diversified,Internet;Private Equity Firm;;Vivek Sekhar, Principal,Sudhir Kamath, Managing Director,Shailesh Vikram Singh, Vice President - Investments;+91-80-4115-1990,+91-80-4115-1990,+91-80-4115-1990;vivek.sekhar@2icapital.com,sudhir.kamath@2icapital.com,shailesh.singh@2icapital.com
@ventures California Branch;100000000;3000000;3000000;United States of America;800 Menlo Avenue, Suite 120;94025;Menlo Park;California;650.322.3245;NA;matt@ventures.com;;Early Stage,Seed,StartUp;Cleantech,Electronics,Defense, Military & Homeland Security,Energy & Natural Resources,Environment,Software,Technology;Venture Capital Firm;;Matt Horton, Principal,Peter	H.	Mills	 Managing Director;650.322.3245,650.322.3245;matt@ventures.com,pmills@ventures.com	
3TS Venture Partners Prague;340000000;20000000;20000000;Czech Republic  ;Vaclavska 12;120 00;Prague;;+420 221 460 130;+420 221 460 137;prague@3tscapital.com;info@3tscapital.com;Management Buyout,Expansion,Leveraged Buyout;Business Services,Energy & Natural Resources,Environment,Financial Services,Healthcare,Media & Entertainment (Including Television, Radio, Newspapers, Internet & Film Production),Technology,Telecommunication;Venture Capital Firm,Private Equity Firm;3TS's geographic preferences is Central and Eastern Europe with its main focus on Poland, the Czech Republic, Hungary, Slovakia, Bulgaria, and Romania.  3TS also invests in Slovenia, Croatia, Serbia, Lithuania, Latvia, and Estonia.  In exceptional cases, ;;;
2M Real Estate Ventures;100000000;2000000;2000000;United States of America;3401 Armstrong Ave;75205-3949;Dallas;Texas;(214) 443-5900;(214) 443-5911;information-request@2m.com;www.2m.com  	 ;Later Stage,Consolidation,Expansion,Mezzanine;Aerospace,Agriculture,Biotechnology,Business Products,Cleantech,Computer Hardware,Distribution,Education,Diversified,Electronics,Enthusiast, Craft & Hobby Products,Environment,Healthcare,Media & Entertainment (Including Television, Radio, Newspapers, Internet & Film Production),Medical Devices,Medical Services,Pharmaceuticals,Real Estate, Construction & Infrastructure,Technology,Advertising & Marketing,Government Services;Private Investor;;Morton H. Meyerson, Chief Executive Officer and Chairman,Ian Trumpower, Chief Financial Officer and General Counsel,Joe Boyd, Advisor,Dr. Adam T. Drobot, Advisor,Judy Lewent, Advisor,Tom Luce, Advisor,Meredith Marks, Advisor,Jack Martin;(214) 443-5900,(214) 443-5900,(214) 443-5900,(214) 443-5900,(214) 443-5900,(214) 443-5900,(214) 443-5900,(214) 443-5900;
3TS Venture Partners Budapest;340000000;20000000;20000000;Hungary;TARTSAY VILMOS U. 11.;H-1126;Budapest;;+36 1 224 7022;+36 1 224 7023;budapest@3tscapital.com;http://3tscapital.com/;Management Buyout,Expansion,Leveraged Buyout;Business Services,Energy & Natural Resources,Environment,Financial Services,Healthcare,Media & Entertainment (Including Television, Radio, Newspapers, Internet & Film Production),Technology,Telecommunication;Venture Capital Firm,Private Equity Firm;3TS's geographic preferences are Central and Eastern Europe with a primary focus on the Czech Republic, Hungary, Poland, Slovakia, Romania, and Bulgaria.  3TS also makes investments in other Eastern European countries, such as Slovenia, Croatia, Serbia, L;;;
3TS Venture Partners Warsaw;342000000;20000000;20000000;Poland;;Poland;Warsaw;;+48 22 890 22 15;+48 22 890 22 15;info@3tscapital.com;http://3tscapital.com/;Management Buyout,Expansion,Leveraged Buyout;Business Services,Energy & Natural Resources,Environment,Financial Services,Healthcare,Media & Entertainment (Including Television, Radio, Newspapers, Internet & Film Production),Technology,Telecommunication;Venture Capital Firm,Private Equity Firm;3TS's Geographic preferences are the Czech Republic, Poland, Romania, Bulgaria, Austria, Slovakia, and Hungary.  3TS also makes investments in Lithuania, Latvia, Estonia, Slovenia, Serbia, and Croatia.;;;
